yyyy, mm, dd,lat,lon,chla
2014,9,5,35.776,-0.651,0.01
2014,9,11,35.7344,-0.974,0.01
2014,9,15,36.1927,0.1927,0.01
2014,9,8,36.401,0.6406,0.010351
2014,9,8,36.1302,0.0885,0.010351
2014,9,24,36.9635,0.7552,0.010351
2014,9,2,35.9115,-0.0573,0.010715
2014,9,3,36.0573,-0.4427,0.010715
2014,9,3,36.0573,-0.4219,0.010715
2014,9,3,35.9531,-0.1198,0.010715
2014,9,3,35.901,-0.6094,0.010715
2014,9,7,35.776,-0.9219,0.010715
2014,9,7,36.8698,0.4844,0.010715
2014,9,8,36.3385,0.5573,0.010715
2014,9,15,36.5885,0.9323,0.010715
2014,9,15,36.5781,0.8594,0.010715
2014,9,15,36.0573,-0.0573,0.010715
2014,9,17,37.0677,0.401,0.010715
2014,9,24,36.2865,0.3177,0.010715
2014,9,2,36.099,-0.526,0.011092
2014,9,3,35.8594,-0.6719,0.011092
2014,9,3,36.0365,-0.5677,0.011092
2014,9,3,35.9427,-0.1094,0.011092
2014,9,3,35.901,-0.599,0.011092
2014,9,5,35.7969,-0.6302,0.011092
2014,9,5,35.7969,-0.6198,0.011092
2014,9,7,36.6406,0.1094,0.011092
2014,9,7,36.1615,-0.151,0.011092
2014,9,8,36.1198,-0.724,0.011092
2014,9,8,36.401,0.5781,0.011092
2014,9,15,36.6198,0.9531,0.011092
2014,9,15,36.349,0.0156,0.011092
2014,9,15,36.0677,0.0573,0.011092
2014,9,17,36.4115,0.224,0.011092
2014,9,23,35.9115,-0.026,0.011092
2014,9,24,36.3385,-0.2135,0.011092
2014,9,3,35.8594,-0.8177,0.011482
2014,9,3,36.0469,-0.4635,0.011482
2014,9,3,35.9635,-0.4323,0.011482
2014,9,3,35.9531,-0.3698,0.011482
2014,9,5,35.776,-0.6719,0.011482
2014,9,5,35.7656,-0.7031,0.011482
2014,9,5,35.776,-0.599,0.011482
2014,9,11,35.974,0.026,0.011482
2014,9,15,36.6927,0.9844,0.011482
2014,9,15,36.0677,-0.0052,0.011482
2014,9,15,35.9427,-0.3802,0.011482
2014,9,15,35.9219,-0.276,0.011482
2014,9,17,36.7969,0.1406,0.011482
2014,9,5,35.7448,-0.6302,0.011885
2014,9,8,36.6302,-0.849,0.011885
2014,9,14,35.8281,-0.5573,0.011885
2014,9,15,36.0573,-0.0781,0.011885
2014,9,17,36.4948,0.224,0.011885
2014,9,26,36.099,-0.349,0.011885
2014,9,2,36.1302,-0.2031,0.012303
2014,9,2,36.0781,-0.3906,0.012303
2014,9,2,36.0781,-0.1406,0.012303
2014,9,3,36.3073,-0.9948,0.012303
2014,9,3,36.0781,-0.8177,0.012303
2014,9,3,36.0677,-0.3698,0.012303
2014,9,3,36.0573,-0.4115,0.012303
2014,9,5,35.7865,-0.6302,0.012303
2014,9,7,36.6302,0.1094,0.012303
2014,9,7,36.2031,-0.1719,0.012303
2014,9,8,36.0573,-0.9531,0.012303
2014,9,8,36.401,0.4844,0.012303
2014,9,8,36.3698,0.6302,0.012303
2014,9,8,36.3594,0.5677,0.012303
2014,9,15,35.8177,-0.7969,0.012303
2014,9,15,36.5677,0.8698,0.012303
2014,9,15,36.349,0.3594,0.012303
2014,9,15,36.224,0.1719,0.012303
2014,9,15,35.9115,-0.4531,0.012303
2014,9,15,35.9115,-0.4219,0.012303
2014,9,17,35.901,-0.4323,0.012303
2014,9,24,36.2344,-0.4531,0.012303
2014,9,24,36.026,-0.3281,0.012303
2014,9,26,35.8698,-0.099,0.012303
2014,9,2,36.0677,-0.2552,0.012735
2014,9,2,36.0573,-0.2448,0.012735
2014,9,2,36.0156,-0.026,0.012735
2014,9,3,35.849,-0.7135,0.012735
2014,9,3,35.8073,-0.9323,0.012735
2014,9,3,36.0365,-0.5781,0.012735
2014,9,3,35.9531,-0.4427,0.012735
2014,9,3,35.9427,-0.151,0.012735
2014,9,7,36.8594,0.5365,0.012735
2014,9,8,36.4948,0.776,0.012735
2014,9,8,36.1302,0.0781,0.012735
2014,9,15,36.6615,0.9635,0.012735
2014,9,15,36.401,0.4531,0.012735
2014,9,15,36.0677,0.0365,0.012735
2014,9,15,36.0573,-0.0885,0.012735
2014,9,17,36.6615,-0.4531,0.012735
2014,9,2,36.0052,-0.0156,0.013183
2014,9,3,35.8906,-0.901,0.013183
2014,9,5,35.7552,-0.6927,0.013183
2014,9,8,35.7552,-0.9323,0.013183
2014,9,8,36.2344,-0.5156,0.013183
2014,9,14,35.8073,-0.5885,0.013183
2014,9,15,36.1719,-0.5885,0.013183
2014,9,15,35.9844,-0.5573,0.013183
2014,9,15,35.9427,-0.2552,0.013183
2014,9,3,36.0781,-0.8906,0.013646
2014,9,3,36.0677,-0.9844,0.013646
2014,9,3,36.1094,-0.4531,0.013646
2014,9,3,36.099,-0.5156,0.013646
2014,9,3,35.8906,-0.599,0.013646
2014,9,7,36.6615,0.1198,0.013646
2014,9,8,36.4427,-0.8385,0.013646
