*/
Date/Time,Temp [Â°C],Conf [Â±] (Temperature; 90% confidence v...),Sal (PSU),Conf [Â±] (Salinity; 90% confidence value),Chl a [Âµg/l],Conf [Â±] (Chlorophyll a; 90% confidence...),O2 sat [%],Conf [Â±] (Oxygen saturation; 90% confid...),Turbidity [FTU],Conf [Â±] (Turbidity; 90% confidence value)
2020-03-26T14:00:00,7.297,0.004,33.414,0.015,,,98.748,0.958,,
2020-03-26T15:00:00,7.313,0.004,33.366,0.013,,,98.401,0.958,,
2020-03-26T16:00:00,7.298,0.006,33.329,0.013,,,97.951,1.109,,
2020-03-26T17:00:00,7.352,0.005,33.372,0.013,,,101.132,1.024,,
2020-03-26T18:00:00,7.435,0.005,33.421,0.014,,,104.984,1.343,,
2020-03-26T19:00:00,7.304,0.005,33.419,0.013,,,103.219,1.219,,
2020-03-26T20:00:00,7.148,0.005,33.409,0.013,,,99.136,1.224,,
2020-03-26T21:00:00,7.098,0.004,33.422,0.010,,,99.575,1.077,,
2020-03-26T22:00:00,7.076,0.004,33.409,0.013,,,98.364,1.037,,
2020-03-26T23:00:00,7.081,0.004,33.401,0.013,,,97.574,1.110,,
2020-03-27T00:00:00,7.058,0.005,33.399,0.014,,,97.168,1.158,,
2020-03-27T01:00:00,7.019,0.005,33.403,0.013,,,96.829,1.077,,
2020-03-27T02:00:00,6.978,0.005,33.349,0.013,,,95.998,0.994,,
2020-03-27T03:00:00,6.952,0.004,33.271,0.014,,,95.059,0.946,,
2020-03-27T04:00:00,6.956,0.005,33.274,0.015,,,94.318,0.885,,
2020-03-27T05:00:00,6.937,0.004,33.315,0.016,,,93.794,0.996,,
2020-03-27T06:00:00,6.893,0.005,33.350,0.013,,,93.707,1.115,,
2020-03-27T07:00:00,6.892,0.005,33.324,0.014,,,94.108,1.035,,
2020-03-27T08:00:00,6.945,0.005,33.333,0.014,,,96.126,0.964,,
2020-03-27T09:00:00,7.014,0.004,33.329,0.015,,,98.988,1.134,,
2020-03-27T10:00:00,7.138,0.005,33.348,0.015,,,103.854,1.167,,
2020-03-27T11:00:00,7.199,0.004,33.356,0.014,,,102.176,1.027,,
2020-03-27T12:00:00,7.217,0.004,33.363,0.016,,,100.725,0.994,,
2020-03-27T13:00:00,7.312,0.004,33.338,0.013,,,99.748,1.112,,
2020-03-27T14:00:00,7.375,0.005,33.266,0.014,,,99.814,0.864,,
2020-03-27T15:00:00,7.393,0.005,33.181,0.014,,,98.919,1.151,,
2020-03-27T16:00:00,7.378,0.005,33.144,0.014,,,98.014,0.829,,
2020-03-27T17:00:00,7.387,0.005,33.239,0.014,,,98.730,1.043,,
2020-03-27T18:00:00,7.394,0.004,33.304,0.012,,,103.303,1.187,,
2020-03-27T19:00:00,7.394,0.005,33.345,0.013,,,105.182,1.321,,
2020-03-27T20:00:00,7.269,0.005,33.276,0.012,,,100.679,0.937,,
2020-03-27T21:00:00,7.218,0.004,33.259,0.013,,,99.867,0.884,,
2020-03-27T22:00:00,7.178,0.004,33.265,0.013,,,99.086,1.062,,
2020-03-27T23:00:00,7.156,0.005,33.276,0.012,,,98.302,1.100,,
2020-03-29T12:00:00,6.954,0.005,32.406,0.016,,,97.483,0.998,,
2020-03-29T13:00:00,6.978,0.005,32.410,0.018,,,96.082,0.909,,
