year1,m1,d1,average
2020,1,1,2.692
2020,1,2,2.786
2020,1,3,2.113
2020,1,4,2.265
2020,1,5,2.188
2020,1,6,3.199
2020,1,7,3.199
2020,1,8,3.199
2020,1,9,2.884
2020,1,10,2.884
2020,1,11,3.199
2020,1,12,3.09
2020,1,13,3.311
2020,1,14,3.548
2020,1,15,3.548
2020,1,16,3.548
2020,1,17,3.802
2020,1,18,3.936
2020,1,19,3.311
2020,1,20,3.548
2020,1,21,3.311
2020,1,22,3.09
2020,1,23,3.311
2020,1,24,3.09
2020,1,25,3.428
2020,1,26,3.428
2020,1,27,3.548
2020,1,28,3.311
2020,1,29,3.311
2020,1,30,3.311
2020,1,31,3.311
2020,2,1,3.311
2020,2,2,2.265
2020,2,3,2.265
2020,2,4,2.344
2020,2,5,2.786
2020,2,6,2.786
2020,2,7,2.786
2020,2,8,2.884
2020,2,9,2.786
2020,2,10,3.09
2020,2,11,4.074
2020,2,12,4.074
2020,2,13,2.985
2020,2,14,2.692
2020,2,15,2.985
2020,2,16,3.311
2020,2,17,3.311
2020,2,18,3.09
2020,2,19,3.199
2020,2,20,3.199
2020,2,21,3.311
2020,2,22,3.199
2020,2,23,2.692
2020,2,24,2.427
2020,2,25,2.427
2020,2,26,2.512
2020,2,27,2.512
2020,2,28,3.428
2020,2,29,3.428
2020,3,1,2.512
2020,3,2,2.427
2020,3,3,1.972
2020,3,4,2.042
2020,3,5,2.042
2020,3,6,2.042
2020,3,7,2.344
2020,3,8,2.344
2020,3,9,2.042
2020,3,10,2.042
2020,3,11,1.972
2020,3,12,2.512
2020,3,13,3.936
2020,3,14,1.972
2020,3,15,2.042
2020,3,16,2.042
2020,3,17,2.113
2020,3,18,2.427
2020,3,19,2.427
2020,3,20,2.427
2020,3,21,2.692
2020,3,22,2.113
2020,3,23,1.603
2020,3,24,1.972
2020,3,25,2.985
2020,3,26,4.677
2020,3,27,5.957
2020,3,28,5.37
2020,3,29,4.217
2020,3,30,3.673
2020,3,31,4.842
2020,4,1,5.012
2020,4,2,3.199
2020,4,3,3.428
2020,4,4,4.519
2020,4,5,4.074
2020,4,6,4.074
2020,4,7,3.311
2020,4,8,3.802
2020,4,9,2.985
2020,4,10,3.802
2020,4,11,4.074
2020,4,12,3.673
2020,4,13,3.936
2020,4,14,3.311
2020,4,15,3.936
2020,4,16,5.188
2020,4,17,4.842
2020,4,18,5.754
2020,4,19,4.677
2020,4,20,4.519
2020,4,21,4.074
2020,4,22,4.677
2020,4,23,5.37
2020,4,24,5.37
2020,4,25,4.842
2020,4,26,4.842
2020,4,27,3.936
2020,4,28,6.607
2020,4,29,5.188
2020,4,30,5.559
2020,5,1,3.548
2020,5,2,4.074
2020,5,3,1.496
2020,5,4,3.548
2020,5,5,6.166
2020,5,6,5.012
2020,5,7,4.519
2020,5,8,5.012
2020,5,9,2.884
2020,5,10,3.548
2020,5,11,4.519
2020,5,12,2.512
2020,5,13,4.677
2020,5,14,5.559
2020,5,15,5.37
2020,5,16,2.265
2020,5,17,3.936
2020,5,18,3.936
2020,5,19,3.311
2020,5,20,2.884
2020,5,21,4.519
2020,5,22,4.365
2020,5,23,2.042
2020,5,24,2.985
2020,5,25,2.985
2020,5,26,3.311
2020,5,27,4.217
2020,5,28,4.217
2020,5,29,5.37
2020,5,30,4.842
2020,5,31,5.559
2020,6,1,6.383
2020,6,2,7.079
2020,6,3,2.786
2020,6,4,2.344
2020,6,5,3.802
2020,6,6,2.786
2020,6,7,1.972
2020,6,8,2.188
2020,6,9,2.985
2020,6,10,1.175
2020,6,11,1.023
2020,6,12,2.113
2020,6,13,2.786
2020,6,14,2.427
2020,6,15,2.692
2020,6,16,3.311
2020,6,17,3.548
2020,6,18,3.548
2020,6,19,3.548
2020,6,20,4.677
2020,6,21,4.074
2020,6,22,3.199
2020,6,23,3.311
2020,6,24,3.199
2020,6,25,3.802
2020,6,26,4.074
2020,6,27,4.677
2020,6,28,2.265
2020,6,29,1.175
2020,6,30,0.923
2020,7,1,1.905
2020,7,2,4.365
2020,7,3,4.519
2020,7,4,3.09
2020,7,5,2.113
2020,7,6,3.936
2020,7,7,5.559
2020,7,8,3.428
2020,7,9,3.428
2020,7,10,2.113
2020,7,11,2.786
2020,7,12,3.548
2020,7,13,4.074
2020,7,14,3.936
2020,7,15,7.328
2020,7,16,9.661
2020,7,17,4.217
2020,7,18,9.333
2020,7,19,3.09
2020,7,20,6.166
2020,7,21,4.365
2020,7,22,4.217
2020,7,23,4.217
2020,7,24,3.311
