*****  Spatial averaging of a parameter (output of avg_area.pro)  *****
parameter:                        chla
area name :                       
latitudinal range :                54.18    54.18
longitudinal range:                 7.87     7.87
no smoothing average applied
no mask applied
no values excluded
number of time steps (files):    1125
first data file:                  helgo4_cmems-l4-gapfree_chla_R2022.0_1d_20200101_20200101.gz
last  data file:                  helgo4_cmems-l4-gapfree_chla_R2022.0_1d_20230831_20230831.gz

   year1 m1 d1   year2 m2 d2      nobs  average     std     min     max   
    2020  1  1    2020  1  1         1    2.692     NaN    2.69    2.69
    2020  1  2    2020  1  2         1    2.786     NaN    2.79    2.79
    2020  1  3    2020  1  3         1    2.113     NaN    2.11    2.11
    2020  1  4    2020  1  4         1    2.265     NaN    2.26    2.26
    2020  1  5    2020  1  5         1    2.188     NaN    2.19    2.19
    2020  1  6    2020  1  6         1    3.199     NaN    3.20    3.20
    2020  1  7    2020  1  7         1    3.199     NaN    3.20    3.20
    2020  1  8    2020  1  8         1    3.199     NaN    3.20    3.20
    2020  1  9    2020  1  9         1    2.884     NaN    2.88    2.88
    2020  1 10    2020  1 10         1    2.884     NaN    2.88    2.88
    2020  1 11    2020  1 11         1    3.199     NaN    3.20    3.20
    2020  1 12    2020  1 12         1    3.090     NaN    3.09    3.09
    2020  1 13    2020  1 13         1    3.311     NaN    3.31    3.31
    2020  1 14    2020  1 14         1    3.548     NaN    3.55    3.55
    2020  1 15    2020  1 15         1    3.548     NaN    3.55    3.55
    2020  1 16    2020  1 16         1    3.548     NaN    3.55    3.55
    2020  1 17    2020  1 17         1    3.802     NaN    3.80    3.80
    2020  1 18    2020  1 18         1    3.936     NaN    3.94    3.94
    2020  1 19    2020  1 19         1    3.311     NaN    3.31    3.31
    2020  1 20    2020  1 20         1    3.548     NaN    3.55    3.55
    2020  1 21    2020  1 21         1    3.311     NaN    3.31    3.31
    2020  1 22    2020  1 22         1    3.090     NaN    3.09    3.09
    2020  1 23    2020  1 23         1    3.311     NaN    3.31    3.31
    2020  1 24    2020  1 24         1    3.090     NaN    3.09    3.09
    2020  1 25    2020  1 25         1    3.428     NaN    3.43    3.43
    2020  1 26    2020  1 26         1    3.428     NaN    3.43    3.43
    2020  1 27    2020  1 27         1    3.548     NaN    3.55    3.55
    2020  1 28    2020  1 28         1    3.311     NaN    3.31    3.31
    2020  1 29    2020  1 29         1    3.311     NaN    3.31    3.31
    2020  1 30    2020  1 30         1    3.311     NaN    3.31    3.31
    2020  1 31    2020  1 31         1    3.311     NaN    3.31    3.31
    2020  2  1    2020  2  1         1    3.311     NaN    3.31    3.31
    2020  2  2    2020  2  2         1    2.265     NaN    2.26    2.26
    2020  2  3    2020  2  3         1    2.265     NaN    2.26    2.26
    2020  2  4    2020  2  4         1    2.344     NaN    2.34    2.34
    2020  2  5    2020  2  5         1    2.786     NaN    2.79    2.79
    2020  2  6    2020  2  6         1    2.786     NaN    2.79    2.79
    2020  2  7    2020  2  7         1    2.786     NaN    2.79    2.79
    2020  2  8    2020  2  8         1    2.884     NaN    2.88    2.88
    2020  2  9    2020  2  9         1    2.786     NaN    2.79    2.79
    2020  2 10    2020  2 10         1    3.090     NaN    3.09    3.09
    2020  2 11    2020  2 11         1    4.074     NaN    4.07    4.07
    2020  2 12    2020  2 12         1    4.074     NaN    4.07    4.07
    2020  2 13    2020  2 13         1    2.985     NaN    2.99    2.99
    2020  2 14    2020  2 14         1    2.692     NaN    2.69    2.69
    2020  2 15    2020  2 15         1    2.985     NaN    2.99    2.99
    2020  2 16    2020  2 16         1    3.311     NaN    3.31    3.31
    2020  2 17    2020  2 17         1    3.311     NaN    3.31    3.31
    2020  2 18    2020  2 18         1    3.090     NaN    3.09    3.09
    2020  2 19    2020  2 19         1    3.199     NaN    3.20    3.20
    2020  2 20    2020  2 20         1    3.199     NaN    3.20    3.20
    2020  2 21    2020  2 21         1    3.311     NaN    3.31    3.31
    2020  2 22    2020  2 22         1    3.199     NaN    3.20    3.20
    2020  2 23    2020  2 23         1    2.692     NaN    2.69    2.69
    2020  2 24    2020  2 24         1    2.427     NaN    2.43    2.43
    2020  2 25    2020  2 25         1    2.427     NaN    2.43    2.43
    2020  2 26    2020  2 26         1    2.512     NaN    2.51    2.51
    2020  2 27    2020  2 27         1    2.512     NaN    2.51    2.51
    2020  2 28    2020  2 28         1    3.428     NaN    3.43    3.43
    2020  2 29    2020  2 29         1    3.428     NaN    3.43    3.43
    2020  3  1    2020  3  1         1    2.512     NaN    2.51    2.51
    2020  3  2    2020  3  2         1    2.427     NaN    2.43    2.43
    2020  3  3    2020  3  3         1    1.972     NaN    1.97    1.97
    2020  3  4    2020  3  4         1    2.042     NaN    2.04    2.04
    2020  3  5    2020  3  5         1    2.042     NaN    2.04    2.04
    2020  3  6    2020  3  6         1    2.042     NaN    2.04    2.04
    2020  3  7    2020  3  7         1    2.344     NaN    2.34    2.34
    2020  3  8    2020  3  8         1    2.344     NaN    2.34    2.34
    2020  3  9    2020  3  9         1    2.042     NaN    2.04    2.04
    2020  3 10    2020  3 10         1    2.042     NaN    2.04    2.04
    2020  3 11    2020  3 11         1    1.972     NaN    1.97    1.97
    2020  3 12    2020  3 12         1    2.512     NaN    2.51    2.51
    2020  3 13    2020  3 13         1    3.936     NaN    3.94    3.94
    2020  3 14    2020  3 14         1    1.972     NaN    1.97    1.97
    2020  3 15    2020  3 15         1    2.042     NaN    2.04    2.04
    2020  3 16    2020  3 16         1    2.042     NaN    2.04    2.04
    2020  3 17    2020  3 17         1    2.113     NaN    2.11    2.11
    2020  3 18    2020  3 18         1    2.427     NaN    2.43    2.43
    2020  3 19    2020  3 19         1    2.427     NaN    2.43    2.43
    2020  3 20    2020  3 20         1    2.427     NaN    2.43    2.43
    2020  3 21    2020  3 21         1    2.692     NaN    2.69    2.69
    2020  3 22    2020  3 22         1    2.113     NaN    2.11    2.11
    2020  3 23    2020  3 23         1    1.603     NaN    1.60    1.60
    2020  3 24    2020  3 24         1    1.972     NaN    1.97    1.97
    2020  3 25    2020  3 25         1    2.985     NaN    2.99    2.99
    2020  3 26    2020  3 26         1    4.677     NaN    4.68    4.68
    2020  3 27    2020  3 27         1    5.957     NaN    5.96    5.96
    2020  3 28    2020  3 28         1    5.370     NaN    5.37    5.37
    2020  3 29    2020  3 29         1    4.217     NaN    4.22    4.22
    2020  3 30    2020  3 30         1    3.673     NaN    3.67    3.67
    2020  3 31    2020  3 31         1    4.842     NaN    4.84    4.84
    2020  4  1    2020  4  1         1    5.012     NaN    5.01    5.01
    2020  4  2    2020  4  2         1    3.199     NaN    3.20    3.20
    2020  4  3    2020  4  3         1    3.428     NaN    3.43    3.43
    2020  4  4    2020  4  4         1    4.519     NaN    4.52    4.52
    2020  4  5    2020  4  5         1    4.074     NaN    4.07    4.07
    2020  4  6    2020  4  6         1    4.074     NaN    4.07    4.07
    2020  4  7    2020  4  7         1    3.311     NaN    3.31    3.31
    2020  4  8    2020  4  8         1    3.802     NaN    3.80    3.80
    2020  4  9    2020  4  9         1    2.985     NaN    2.99    2.99
    2020  4 10    2020  4 10         1    3.802     NaN    3.80    3.80
    2020  4 11    2020  4 11         1    4.074     NaN    4.07    4.07
    2020  4 12    2020  4 12         1    3.673     NaN    3.67    3.67
    2020  4 13    2020  4 13         1    3.936     NaN    3.94    3.94
    2020  4 14    2020  4 14         1    3.311     NaN    3.31    3.31
    2020  4 15    2020  4 15         1    3.936     NaN    3.94    3.94
    2020  4 16    2020  4 16         1    5.188     NaN    5.19    5.19
    2020  4 17    2020  4 17         1    4.842     NaN    4.84    4.84
    2020  4 18    2020  4 18         1    5.754     NaN    5.75    5.75
    2020  4 19    2020  4 19         1    4.677     NaN    4.68    4.68
    2020  4 20    2020  4 20         1    4.519     NaN    4.52    4.52
    2020  4 21    2020  4 21         1    4.074     NaN    4.07    4.07
    2020  4 22    2020  4 22         1    4.677     NaN    4.68    4.68
    2020  4 23    2020  4 23         1    5.370     NaN    5.37    5.37
    2020  4 24    2020  4 24         1    5.370     NaN    5.37    5.37
    2020  4 25    2020  4 25         1    4.842     NaN    4.84    4.84
    2020  4 26    2020  4 26         1    4.842     NaN    4.84    4.84
    2020  4 27    2020  4 27         1    3.936     NaN    3.94    3.94
    2020  4 28    2020  4 28         1    6.607     NaN    6.61    6.61
    2020  4 29    2020  4 29         1    5.188     NaN    5.19    5.19
    2020  4 30    2020  4 30         1    5.559     NaN    5.56    5.56
    2020  5  1    2020  5  1         1    3.548     NaN    3.55    3.55
    2020  5  2    2020  5  2         1    4.074     NaN    4.07    4.07
    2020  5  3    2020  5  3         1    1.496     NaN    1.50    1.50
    2020  5  4    2020  5  4         1    3.548     NaN    3.55    3.55
    2020  5  5    2020  5  5         1    6.166     NaN    6.17    6.17
    2020  5  6    2020  5  6         1    5.012     NaN    5.01    5.01
    2020  5  7    2020  5  7         1    4.519     NaN    4.52    4.52
    2020  5  8    2020  5  8         1    5.012     NaN    5.01    5.01
    2020  5  9    2020  5  9         1    2.884     NaN    2.88    2.88
    2020  5 10    2020  5 10         1    3.548     NaN    3.55    3.55
    2020  5 11    2020  5 11         1    4.519     NaN    4.52    4.52
    2020  5 12    2020  5 12         1    2.512     NaN    2.51    2.51
    2020  5 13    2020  5 13         1    4.677     NaN    4.68    4.68
    2020  5 14    2020  5 14         1    5.559     NaN    5.56    5.56
    2020  5 15    2020  5 15         1    5.370     NaN    5.37    5.37
    2020  5 16    2020  5 16         1    2.265     NaN    2.26    2.26
    2020  5 17    2020  5 17         1    3.936     NaN    3.94    3.94
    2020  5 18    2020  5 18         1    3.936     NaN    3.94    3.94
    2020  5 19    2020  5 19         1    3.311     NaN    3.31    3.31
    2020  5 20    2020  5 20         1    2.884     NaN    2.88    2.88
    2020  5 21    2020  5 21         1    4.519     NaN    4.52    4.52
    2020  5 22    2020  5 22         1    4.365     NaN    4.37    4.37
    2020  5 23    2020  5 23         1    2.042     NaN    2.04    2.04
    2020  5 24    2020  5 24         1    2.985     NaN    2.99    2.99
    2020  5 25    2020  5 25         1    2.985     NaN    2.99    2.99
    2020  5 26    2020  5 26         1    3.311     NaN    3.31    3.31
    2020  5 27    2020  5 27         1    4.217     NaN    4.22    4.22
    2020  5 28    2020  5 28         1    4.217     NaN    4.22    4.22
    2020  5 29    2020  5 29         1    5.370     NaN    5.37    5.37
    2020  5 30    2020  5 30         1    4.842     NaN    4.84    4.84
    2020  5 31    2020  5 31         1    5.559     NaN    5.56    5.56
