Event,"Date PST","Time PST","Latitude (º)","Longitude (º)","T Chla (µg/l)","Chla > 3µm (µg/l)","Chla < 3µm (%)","Chla > 3µm (%)","Sample Temp (C)","Sea Surface Temp (C)","Station Depth (m)","Sample Depth (m)",Program,"Water Collection School","Sample Analysis School","Number of Students"
2,2006-01-17,10:00:00,33.43483333,-117.6998333,2.09,0.9,56.92,43.08,,15.22,36.576,10,LS,"Concordia Elementary","Concordia Elementary",33
3,2006-01-19,07:00:00,33.43466667,-117.7001667,0.62,0.29,53.76,46.24,13,14.22,36.75888,10,SS,"Loma Linda Academy","Loma Linda Academy",33
6,2006-02-02,,33.43331667,-117.7013333,4.05,2.4,40.68,59.32,15,15.72,34.7472,10,LS,,"Edison Elementary",31
7,2006-02-14,,33.43416667,-117.6991667,3.86,1.66,56.96,43.04,15,15,34.7472,10,LS,,,39
8,2006-02-15,,33.45116667,-117.7308333,3.5,1.91,45.56,54.44,15,14.72,32.9184,10,LS,,"Claremont College",22
9,2006-02-16,12:00:00,33.43483333,-117.6995,7.02,3.86,45.07,54.93,15,15.72,34.7472,10,SS,"Brentwood Middle","Claremont College",36
11,2006-02-23,07:00:00,33.43323333,-117.6993333,8.6,3.16,63.21,36.79,13,14.44,36.576,10,SS,"Wilson Elementary","Diamond Elementary",30
12,2006-03-02,,33.44516667,-117.7218333,2.3,1.89,17.71,82.29,14,14.44,34.7472,10,LS," Elementary",,21
14,2006-03-15,09:30:00,33.43,-117.6866667,2.53,2.46,2.87,97.13,10,12.78,34.7472,10,"Big Al","Hidden Hills Elementary","Connelly High School",38
16,2006-03-20,07:30:00,33.47666667,-117.7533333,20.93,14.11,32.6,67.4,12,15,31,10,AFL,"Connelly High School","Hidden Hills Elementary",27
17,2006-03-22,09:30:00,33.43666667,-117.6983333,5.61,4.54,19.06,80.94,13,15,40,10,"Big Al","Hidden Hills Elementary","Chino High School",40
18,2006-03-23,07:30:00,33.46333333,-117.7474667,10.01,8.27,17.38,82.62,13,,54,10,AFL,"Chino High School","Mt. San Antonio College",32
19,2006-03-25,13:30:00,33.44966667,-117.7268333,2.82,2.15,23.77,76.23,13,14.72,36,10,AFL,"Mt. San Antonio College","Mira Costa College",53
20,2006-03-27,12:30:00,33.4985,-117.7971667,3.61,2.84,21.26,78.74,14,15.39,30,10,AFL,"Mira Costa College","Mira Costa College",25
21,2006-04-03,14:30:00,33.46363333,-117.7454667,2.49,1.56,37.37,62.63,14,15.56,59,10,AFL,"Mira Costa College","Mira Costa College",18
22,2006-04-06,14:00:00,33.45333333,-117.7366667,1.65,1.08,34.38,65.62,14,15.56,54,10,AFL,"Mira Costa College","Mira Costa College",18
25,2006-04-13,14:00:00,33.475,-117.7416667,3.79,3.09,18.43,81.57,14,16.67,40,10,AFL,"Rowland High School","Palomar College",34
26,2006-04-17,13:30:00,33.48116667,-117.7445333,8.04,8,0.41,99.59,13,14.89,39,10,AFL,"Palomar College","Palomar College",27
27,2006-04-18,13:25:00,33.45103333,-117.7510333,8.75,6.63,24.23,75.77,14,16.11,36.576,10,AFL,"Palomar College","Palomar College",31
